src_key,dst_key,match_type
desta2,tang2023salmonn,arxiv
desta2,wavllm,paperId
desta2,whisper,arxiv
diva,chu2023qwen,arxiv
diva,gong2023listen,arxiv
diva,hubert,arxiv
diva,owsm,paperId
diva,q-former,arxiv
diva,shu2023llasm,arxiv
diva,tang2023salmonn,arxiv
diva,wang2023slm,arxiv
diva,wav2vec2,arxiv
diva,wavlm,arxiv
diva,whisper,arxiv
diva,wu2023decoder,arxiv
dphubert,hubert,arxiv
dphubert,mohamed2022self,arxiv
dphubert,parp,arxiv
dphubert,wav2vec2,arxiv
dphubert,wavlm,arxiv
dunbar2021zero,GSLM,paperId
dunbar2021zero,bert,arxiv
dunbar2021zero,warstadt2020blimp,doi
dunbar2021zero,wav2vec2,arxiv
duplextimeNuerIPS24,brown2020language,arxiv
duplextimeNuerIPS24,gpt4,arxiv
duplextimeNuerIPS24,shu2023llasm,arxiv
duplextimeNuerIPS24,whisper,arxiv
ekstedt-skantze-2020-turngpt,masumura-etal-2018-neural,paperId
ekstedt-skantze-2020-turngpt,skantze-2017-towards,paperId
ekstedt-skantze-2020-turngpt,turntakeingIS18,paperId
encodec,GSLM,paperId
encodec,dGSLM,arxiv
encodec,hubert,arxiv
encodec,kong2020hifi,arxiv
encodec,lee2022direct,arxiv
encodec,lee2022textless,arxiv
encodec,pGSLM,arxiv
encodec,polyak21_interspeech,arxiv
encodec,soundstream,arxiv
encodec,van2017neural,arxiv
fan2024alignformer,audiochatllama,paperId
fan2024alignformer,blsp,arxiv
fan2024alignformer,brown2020language,arxiv
fan2024alignformer,chu2024qwen2audio,arxiv
fan2024alignformer,das2024speechverse,arxiv
fan2024alignformer,defossezmoshi,arxiv
fan2024alignformer,desta2,arxiv
fan2024alignformer,encodec,arxiv
fan2024alignformer,gaido2021ctc,paperId
fan2024alignformer,gpt4,arxiv
fan2024alignformer,llama3,arxiv
fan2024alignformer,lora,arxiv
fan2024alignformer,ouyang2022training,arxiv
fan2024alignformer,pan2023cosmic,arxiv
fan2024alignformer,phi4mini,arxiv
